Tipo,Região,Vendedor,Mês,Ano,Preço
Eva,Fraiburgo,produtor,1,2014,595.0
Eva,Fraiburgo,produtor,1,2015,475.5
Eva,Fraiburgo,produtor,1,2016,375.5
Eva,Fraiburgo,produtor,1,2017,665.33
Eva,Fraiburgo,produtor,1,2019,599.33
Eva,Fraiburgo,produtor,1,2022,94.66
Eva,Fraiburgo,produtor,1,2023,739.25
Eva,Fraiburgo,produtor,12,2014,332.0
Eva,Fraiburgo,produtor,12,2015,505.33
Eva,Fraiburgo,produtor,12,2022,474.5
Eva,São Joaquim,produtor,1,2016,130.0
Eva,São Joaquim,produtor,12,2015,390.0
Eva,São Paulo (capital),atacado,1,2014,685.17
Eva,São Paulo (capital),atacado,1,2015,484.84000000000003
Eva,São Paulo (capital),atacado,1,2016,281.25
Eva,São Paulo (capital),atacado,1,2017,439.67
Eva,São Paulo (capital),atacado,1,2018,50.0
Eva,São Paulo (capital),atacado,1,2019,140.0
Eva,São Paulo (capital),atacado,1,2020,407.5
Eva,São Paulo (capital),atacado,1,2021,554.34
Eva,São Paulo (capital),atacado,1,2022,231.66
Eva,São Paulo (capital),atacado,12,2014,358.17
Eva,São Paulo (capital),atacado,12,2015,276.5
Eva,Vacaria,produtor,1,2014,595.16
Eva,Vacaria,produtor,1,2015,300.5
Eva,Vacaria,produtor,12,2014,263.0
Eva,Vacaria,produtor,12,2015,128.0
Fuji,Fraiburgo,produtor,1,2008,102.0
Fuji,Fraiburgo,produtor,1,2009,144.32999999999998
Fuji,Fraiburgo,produtor,1,2010,480.17
Fuji,Fraiburgo,produtor,1,2011,467.15999999999997
Fuji,Fraiburgo,produtor,1,2012,539.66
Fuji,Fraiburgo,produtor,1,2013,580.0
Fuji,Fraiburgo,produtor,1,2014,431.33
Fuji,Fraiburgo,produtor,1,2015,285.5
Fuji,Fraiburgo,produtor,1,2019,756.0
Fuji,Fraiburgo,produtor,1,2022,376.65999999999997
Fuji,Fraiburgo,produtor,3,2008,19.0
Fuji,Fraiburgo,produtor,3,2011,364.0
Fuji,Fraiburgo,produtor,3,2012,194.5
Fuji,Fraiburgo,produtor,3,2013,558.49
Fuji,Fraiburgo,produtor,3,2015,282.5
Fuji,Fraiburgo,produtor,3,2018,95.0
Fuji,Fraiburgo,produtor,3,2019,107.5
Fuji,Fraiburgo,produtor,3,2020,257.0
Fuji,Fraiburgo,produtor,3,2021,298.47
Fuji,Fraiburgo,produtor,3,2022,202.0
Fuji,Fraiburgo,produtor,3,2023,202.0
Fuji,Fraiburgo,produtor,4,2008,287.0
Fuji,Fraiburgo,produtor,4,2010,228.0
Fuji,Fraiburgo,produtor,4,2011,447.67
Fuji,Fraiburgo,produtor,4,2012,357.35
Fuji,Fraiburgo,produtor,4,2013,634.66
Fuji,Fraiburgo,produtor,4,2014,690.5
Fuji,Fraiburgo,produtor,4,2015,694.5
Fuji,Fraiburgo,produtor,4,2016,706.33
Fuji,Fraiburgo,produtor,4,2017,175.5
Fuji,Fraiburgo,produtor,4,2018,224.32999999999998
Fuji,Fraiburgo,produtor,4,2019,395.98
Fuji,Fraiburgo,produtor,4,2020,840.87
Fuji,Fraiburgo,produtor,4,2021,562.06
Fuji,Fraiburgo,produtor,4,2022,720.17
Fuji,Fraiburgo,produtor,4,2023,1121.75
Fuji,Fraiburgo,produtor,5,2008,253.2
Fuji,Fraiburgo,produtor,5,2009,204.0
Fuji,Fraiburgo,produtor,5,2010,301.08
Fuji,Fraiburgo,produtor,5,2011,444.75
Fuji,Fraiburgo,produtor,5,2012,233.0
Fuji,Fraiburgo,produtor,5,2013,770.83
Fuji,Fraiburgo,produtor,5,2014,882.42
Fuji,Fraiburgo,produtor,5,2015,627.08
Fuji,Fraiburgo,produtor,5,2016,446.83
Fuji,Fraiburgo,produtor,5,2017,525.6800000000001
Fuji,Fraiburgo,produtor,5,2018,483.85
Fuji,Fraiburgo,produtor,5,2019,591.17
Fuji,Fraiburgo,produtor,5,2020,438.0
Fuji,Fraiburgo,produtor,5,2021,377.5
Fuji,Fraiburgo,produtor,5,2022,701.47
Fuji,Fraiburgo,produtor,5,2023,817.0
Fuji,Fraiburgo,produtor,6,2008,252.43
Fuji,Fraiburgo,produtor,6,2009,422.5
Fuji,Fraiburgo,produtor,6,2010,337.51
Fuji,Fraiburgo,produtor,6,2011,551.52
Fuji,Fraiburgo,produtor,6,2012,97.0
Fuji,Fraiburgo,produtor,6,2013,635.92
Fuji,Fraiburgo,produtor,6,2014,642.6800000000001
Fuji,Fraiburgo,produtor,6,2015,663.25
Fuji,Fraiburgo,produtor,6,2016,1208.18
Fuji,Fraiburgo,produtor,6,2017,686.63
Fuji,Fraiburgo,produtor,6,2018,564.6
Fuji,Fraiburgo,produtor,6,2019,468.0
Fuji,Fraiburgo,produtor,6,2020,639.05
Fuji,Fraiburgo,produtor,6,2021,494.67
Fuji,Fraiburgo,produtor,6,2022,865.5699999999999
Fuji,Fraiburgo,produtor,6,2023,1071.59
Fuji,Fraiburgo,produtor,7,2008,293.94
Fuji,Fraiburgo,produtor,7,2009,533.34
Fuji,Fraiburgo,produtor,7,2010,470.83
Fuji,Fraiburgo,produtor,7,2011,478.23
Fuji,Fraiburgo,produtor,7,2012,378.62
Fuji,Fraiburgo,produtor,7,2013,634.8
Fuji,Fraiburgo,produtor,7,2014,789.41
Fuji,Fraiburgo,produtor,7,2015,849.84
Fuji,Fraiburgo,produtor,7,2016,1101.0
Fuji,Fraiburgo,produtor,7,2017,548.65
Fuji,Fraiburgo,produtor,7,2018,435.78
Fuji,Fraiburgo,produtor,7,2019,665.81
Fuji,Fraiburgo,produtor,7,2020,905.4300000000001
Fuji,Fraiburgo,produtor,7,2021,596.33
Fuji,Fraiburgo,produtor,7,2022,742.34
Fuji,Fraiburgo,produtor,7,2023,426.5
Fuji,Fraiburgo,produtor,8,2008,252.14
Fuji,Fraiburgo,produtor,8,2009,405.67
Fuji,Fraiburgo,produtor,8,2010,424.93
Fuji,Fraiburgo,produtor,8,2011,507.69
Fuji,Fraiburgo,produtor,8,2012,648.43
Fuji,Fraiburgo,produtor,8,2013,1065.24
Fuji,Fraiburgo,produtor,8,2014,607.47
Fuji,Fraiburgo,produtor,8,2015,706.91
Fuji,Fraiburgo,produtor,8,2016,1100.82
Fuji,Fraiburgo,produtor,8,2017,706.26
Fuji,Fraiburgo,produtor,8,2018,836.47
Fuji,Fraiburgo,produtor,8,2019,990.42
Fuji,Fraiburgo,produtor,8,2020,860.38
Fuji,Fraiburgo,produtor,8,2021,467.42
Fuji,Fraiburgo,produtor,8,2022,819.01
Fuji,Fraiburgo,produtor,8,2023,1113.34
Fuji,Fraiburgo,produtor,9,2008,274.46
Fuji,Fraiburgo,produtor,9,2009,423.93
Fuji,Fraiburgo,produtor,9,2010,598.29
Fuji,Fraiburgo,produtor,9,2011,677.85
Fuji,Fraiburgo,produtor,9,2012,546.02
Fuji,Fraiburgo,produtor,9,2013,790.7
Fuji,Fraiburgo,produtor,9,2014,640.29
Fuji,Fraiburgo,produtor,9,2015,737.74
Fuji,Fraiburgo,produtor,9,2016,1387.12
